tel- fragment,French abstract,English abstract
tel-02312486,"De nos jours, la quantité de données génétiques séquencées augmente de manière exponentielle sous l'impulsion d'outils de séquençage de plus en plus performants, tels que les outils de séquençage haut débit en particulier. De plus, ces données sont de plus en plus facilement accessibles grâce aux bases de données en ligne. Cette plus grande disponibilité des données ouvre de nouveaux sujets d'étude qui nécessitent de la part des statisticiens et bio-informaticiens de développer des outils adaptés. Par ailleurs, les progrès constants de la statistique, dans des domaines tels que le clustering, la réduction de dimension, ou les régressions entre autres, nécessitent d'être régulièrement adaptés au contexte de la bio-informatique. L’objectif de cette thèse est l’application de techniques avancées de statistiques à des problématiques de bio-informatique. Dans ce manuscrit, nous présentons les résultats de nos travaux concernant le clustering de séquences génétiques via Laplacian eigenmaps et modèle de mélange gaussien, l'étude de la propagation des éléments transposables dans le génome via un processus de branchement, l'analyse de données métagénomiques en écologie via des courbes ROC ou encore la régression polytomique ordonnée pénalisée par la norme l1.","Nowadays, the quantity of sequenced genetic data is increasing exponentially under the impetus of increasingly powerful sequencing tools, such as high-throughput sequencing tools in particular. In addition, these data are increasingly accessible through online databases. This greater availability of data opens up new areas of study that require statisticians and bioinformaticians to develop appropriate tools. In addition, constant statistical progress in areas such as clustering, dimensionality reduction, regressions and others needs to be regularly adapted to the context of bioinformatics. The objective of this thesis is the application of advanced statistical techniques to bioinformatics issues. In this manuscript we present the results of our works concerning the clustering of genetic sequences via Laplacian eigenmaps and Gaussian mixture model, the study of the propagation of transposable elements in the genome via a branching process, the analysis of metagenomic data in ecology via ROC curves or the ordinal polytomous regression penalized by the l1-norm."
tel-00847076,"
Les avancées dans le domaine de la bioinformatique ont ouvert de nouveaux horizons pour la recherche en biologie et en pharmacologie. Les machines comme les algorithmes utilisées aujourd'hui ne sont cependant plus en mesure de répondre à la demande exponentiellement croissante en puissance de calcul. Il existe donc un besoin pour des plate-formes de calculs spécialisées pour ce types de traitement, qui sauraient tirer partie de l'ensemble des technologie de calcul parallèle actuelles (Grilles, multi-coeurs, GPU, FPGA).  Dans cette thèse nous étudions comment l'utilisation d'outils de synthèse de haut niveau peut aider à la conception d'accélérateurs matériels spécialisés massivement parallèles. Ces outils permettent de réduire considérablement les temps de conception mais ne sont pas conçus pour produire des architectures matérielles massivement parallèles efficaces.  Les travaux de cette thèse se sont attachés à dégager des techniques de parallélisation, ainsi que les moyens d'exprimer efficacement ce parallélisme, pour des outils de type HLS.  Nous avons appliqué ces résultats à une application de bioinformatique connue sous le nom de HMMER. Cet algorithme qui pourrait être un bon candidat à une accélération matérielle est très délicat à paralléliser. Nous avons proposé un schéma d'exécution parallèle original, basé sur une réécriture mathématique de l'algorithme, qui a été suivi par une exploration des schéma d'exécution matériels possible sur FPGA. Ce résultat à ensuite donnée lieu à une mise en œuvre sur un accélérateur matériel et a démontré des facteurs d'accélération encourageants.   Les travaux démontre également la pertinence des outils de HLS pour la conception d'accélérateur matériel pour le calcul haute performance en Bioinformatique, à la fois pour réduire les temps de conception, mais aussi pour obtenir des architectures plus efficaces et plus facilement reciblables d'un plateforme à une autre.
","
The revolutionary advancements in the field of bioinformatics have opened new horizons in biological and pharmaceutical research. However, the existing bioinformatics tools are unable to meet the computational demands, due to the recent exponential  growth in biological data. So there is a dire need to build future bioinformatics platforms incorporating modern parallel computation techniques.  In this work, we investigate FPGA based acceleration of these applications, using High-Level Synthesis. High-Level Synthesis tools enable automatic translation of abstract specifications to the hardware design, considerably reducing the design efforts. However, the generation of an efficient hardware using these tools is often a challenge for the designers. Our research effort encompasses an exploration of the techniques and practices, that can lead to the generation of an efficient design from these high-level synthesis tools.   We illustrate our methodology by accelerating a widely used application -- HMMER -- in bioinformatics community. HMMER is well-known for its compute-intensive kernels and data dependencies that lead to a sequential execution. We propose an original parallelization scheme based on rewriting of its mathematical formulation, followed by an in-depth exploration of hardware mapping techniques of these kernels, and finally show on-board acceleration results.   Our research work demonstrates designing flexible hardware accelerators for bioinformatics applications, using design methodologies which are more efficient than the traditional ones, and where resulting designs are scalable enough to meet the future requirements.
"
tel-03219977,"
La bioinformatique prédictive représente un domaine majeur d'application pour les techniques d'optimisation combinatoire. Très souvent, une perspective ensembliste, ne se limitant pas à une solution optimale mais considèrant l'espace des solutions (sous)optimales, s'y avère fructueuse. Dans cette habilitation à diriger des recherches, je présente une série de contributions combinatoire, à la fois de nature algorithmique et analytique, inspirées par des problèmes et questions soulevées dans l'étude des Acides RiboNucléiques (ARN), particulièrement centrées sur leur propriétés structurelles à l'équilibre thermodynamique.
","
Predictive Bioinformatics represents a major field of applications for combinatorial optimization techniques. Very often, an ensemble perspective, which not only consider the optimal solution but also fully embraces the set of suboptimal solutions, needs to be adopted. In this Habilitation à Diriger des Recherches, I present a series of algorithmic and combinatorial contributions, inspired by problems and questions arising in the study of RiboNucleic Acids (RNAs), in particular pertaining to their structural properties at the thermodynamic equilibrium.
"
tel-01012222,"
La croissance exponentielle de la génération de données pour la bioinformatique couplée à une stagnation des fréquences d’horloge des processeurs modernes accentuent la nécessité de fournir des implémentation tirant bénéfice des capacités parallèles des ordinateurs modernes. Cette thèse se concentre sur des algorithmes et implementations pour des problèmes de bioinformatique. Plusieurs types de parallélisme sont décrits et exploités. Cette thèse présente des applications en génétique, avec un outil de détection de QTL paralllisé sur GPU, en comparaison de structures de protéines, avec un outil permettant de trouver des régions similaires entre protéines parallélisé sur CPU, ainsi qu’à l’analyse de larges graphes avec une implémentation multi-GPUs d’un nouvel algorithme pour le problème du «All-Pairs Shortest Path».
","
The exponential growth in bioinformatics data generation and the stagnation of processor frequencies in modern processors stress the need for efficient implementations that fully exploit the parallel capabilities offered by modern computers. This thesis focuses on parallel algorithms and implementations for bioinformatics problems. Various types of parallelism are described and exploited. This thesis presents applications in genetics with a GPU parallel tool for QTL detection, in protein structure comparison with a multicore parallel tool for finding similar regions between proteins, and large graph analysis with a multi-GPU parallel implementation for a novel algorithm for the All-Pairs Shortest Path problem.
"
tel-00401456,"
Cette thèse étudie d'un point de vue algorithmique diverses méthodes de consensus portant sur des collections d'objets étiquetés. Les problèmes étudiés impliquent des objets étiquetés sans répétition d'étiquettes ; ces objets peuvent être des arbres enracinés ou des séquences, avec des applications à la bioinformatique. Ainsi, les problèmes sur les arbres considérés dans cette thèse peuvent trouver des applications pour l'estimation de congruence entre phylogénies, pour la construction de superarbres, et pour l'identification de transferts horizontaux de gènes. Pour leur part, les problèmes sur les séquences considérés dans cette thèse ont des applications potentielles pour le calcul de distance génomique basé sur les ordres de gènes. De manière générale, ce travail met à profit les théories de la complexité paramétrique et de l'approximabilité pour obtenir des algorithmes et des résultats de difficulté pour les problèmes étudiés.
","
This thesis studies from an algorithmic point of view various consensus methods on collections of labeled objects. The problems under study involve labeled objects without repetition of labels ; these objects may be rooted trees or sequences, with applications to bioinformatics. For instance, the problems on trees considered in this thesis may find applications to the estimation of congruence between phylogenies, the construction of supertrees, and the identification of horizontal gene transfers. For their part, the problems on sequences considered in this thesis have potential applications for the computation of genomic distances based on gene orders. Overall, this work relies on the theories of parameterized complexity and approximability to obtain algorithms and hardness results for the problems studied.
"
tel-00634901,"
La bioinformatique nécessite l'analyse de grandes quantités de données. Avec l'apparition de nouvelles technologies permettant un séquençage à haut débit à bas coût, la puissance de calcul requise pour traiter les données a énormément augmenté.. Cette thèse examine la possibilité d'utiliser les processeurs graphiques (GPU) pour des applications de bioinformatique. Dans un premier temps, ce travail s'intéresse au calcul des structures secondaires d'ARN. Ce problème est en général calculé par programmation dynamique, avec un algorithme qui pose de sérieux problèmes pour un code GPU. Nous introduisons une nouvelle implémentation tuilée qui fait apparaitre une bonne localité mémoire, permettant ainsi un programme GPU très efficace. Cette modification permet également de vectoriser le code CPU et donc de faire une comparaison honnête des performances entre GPU et CPU. Dans un deuxième temps, ce travail aborde le problème d'alignements de séquences. Nous présentons une parallélisation GPU d'une méthode utilisant une indexation par graines. L' implémentation sur GPU n'étant pas efficace, nous nous tournons vers le développement d'une version CPU. Notre contribution principale est le développement d'un nouvel algorithme éliminant rapidement les nombreux alignements potentiels, basé sur le précalcul de portions de la matrice de programmation dynamique. Ce nouvel algorithme a conduit au développement d'un nouveau programme d'alignement très efficace. Notre travail fournit l'exemple de deux problèmes différents dont seulement un a pu être efficacement parallélisé sur GPU. Ces deux expériences nous permettent d'évaluer l'efficacité des GPU et leur place en bioinformatique.
","
Bioinformatics require the analysis of large amounts of data. With the recent advent of next generation sequencing technologies generating data at a cheap cost, the computational power needed has increased dramatically. Graphic Processing Units (GPU) are now programmable beyond simple graphic computations, providing cheap high performance for general purpose applications. This thesis explores the usage of GPUs for bioinformatics applications. First, this work focuses on the computation of secondary structures of RNA sequences. It is traditionally conducted with a dynamic programming algorithm, which poses significant challenges for a GPU implementation. We introduce a new tiled implementation providing good data locality and therefore very efficient GPU code. We note that our algorithmic modification also enables tiling and subsequent vectorization of the CPU program, allowing us to conduct a fair CPU-GPU comparison. Secondly, this works addresses the short sequence alignment problem. We present an attempt at GPU parallelization using the seed-and-extend paradigm. Since this attempt is unsuccessful, we then focus on the development of a program running on CPU. Our main contribution is the development of a new algorithm filtering candidate alignment locations quickly, based on the pre computation of tiles of the dynamic programming matrix. This new algorithm proved to be in fact more effective on a sequential CPU program and lead to an efficient new CPU aligner. Our work provides the example of both successful an unsuccessful attempts at GPU parallelization. These two points of view allow us to evaluate GPUs efficiency and the role they can play in bioinformatics.
"
tel-02495582,"L'analyse des très gros volumes de données générées par les nouvelles technologies de séquençage (NGS) nécessite l'utilisation d'outils bioinformatiques efficaces. L'un des aspects de cette analyse est d'identifier des ARNs non codants (ARNncs) qui jouent des rôles importants dans de nombreux processus biologiques. L'identification des ARNncs par les outils informatiques soulève deux défis: (i) la prédiction et la classification (ab initio) de différents types d'ARNncs, et (ii) le traitement à grande échelle de ces données. La plupart des outils existants actuellement pour la prédiction d'ARNncs sont spécialisés pour un type d'ARNnc, le plus grand nombre étant dédié aux microARNs (miARN). C'est notamment le cas des outils que nous avons développés précédemment (et disponibles sur notre plate-forme logicielle EvryRNA (http://EvryRNA.ibisc.univ-evry.fr)). Certains outils de la littérature peuvent également déterminer d'autres types d'ARNncs par comparaison avec des séquences figurant dans diverses bases de données dédiées aux ARNncs (approche par homologie). En outre, il existe des outils pour prédire les différents types d'ARNncs mais sans classification ou classification basée sur l'homologie. Le très peu de méthodes ab initio (très récemment publiées) sont très insuffisantes en terme de prédiction et de temps d'exécution. Le but de ce projet est de développer un algorithme ab initio de prédiction et de classification à grande échelle d'ARNncs à partir de données NGS, en utilisant des méthodes d'optimisation combinatoire et d'apprentissage automatique. Une des caractéristiques très importantes des ARNncs est la structure, notamment la structure secondaire, lorsque celle-ci existe et est connue. Il est donc important de la prendre en compte dans les algorithmes de prédiction, dont le défi est notamment d'être rapides afin de pouvoir traiter de très grand volumes de données issues des NGS. Ces algorithmes seront appliqués à la problématique d'identification des ARNncs impliquées dans le déterminisme sexuel chez les plantes, notamment chez les cucurbitacées (melon, concombre, …) où de très gros volumes de données sont disponibles au sein de l'IPS2.","The analysis of very large volumes of data generated by NGS (next-generation sequencing) requires the use of efficient bioinformatics tools. One of the aspects of this analysis is the identification of the non-coding RNAs (ncRNAs) that play important roles in many biological processes. The identification of ncRNAs by bioinformatics and computational tools raises two challenges: (i) prediction and classification (ab initio) of different types of ncRNAs, and (ii) large-scale processing of these data. Most currently existing tools for ncRNA prediction are specialized to one type of ncRNA, the largest number being dedicated to microRNAs (miRNAs). This is particularly the case of tools that we developed previously (and available on our software platform EvryRNA (http://EvryRNA.ibisc.univ-evry.fr)). Some tools of the literature can also determine other types of ncRNAs by comparison with sequences listed in various databases dedicated to ncRNAs (homology-based approach). In addition, there are tools to predict different types of ARNncs but without classification or by homology-based classification. The very few ab initio methods (very recently published) are very insufficient in term of prediction and time running. The goal of this project is to develop an ab initio algorithm for predicting and classifying at a large scale several classes of ncRNAs from NGS data, using both combinatory optimization and machine learning methods, and considering different types of ncRNAs features: features on sequence, secondary structure, genomic position, neighborhood, etc. One of the principal characteristics of ncARNs is its structure, notably the secondary structure. It is therefore important to take into account the structure in the ncRNA prediction algorithms, and the challenge is to develop fast algorithms to handle with huge volumes of NGS data. The developed algorithms will be applied for the identification of non-coding RNAs involved in sex determination in plants, particularly in cucurbit (melon, cucumber, …), where large volumes of data are available at IPS2."
tel-03331649,"Les domaines de la bioinformatique utilisent des concepts mathématiques et des outils informatiques pour démêler les connaissances dans les données biologiques. Lorsque la bioinformatique est appliquée aux glycanes et à la glycobiologie, elle est appelée glyco-informatique. Les nouvelles technologies permettent le séquençage massif des génomes de nouvelles espèces et des métagénomes d'échantillons environnementaux. Mais tous les génomes nouvellement découverts et les protéines encodées ne sont que partiellement annotés d'une fonction biologique, récupérée par similarité à partir des organismes de référence.La glycobiologie est le domaine de recherche consacré à l'étude des glycanes/glucides, composés d'un ou de plusieurs monosaccharides. Les lectines sont des protéines capables de se lier de manière réversible aux glycanes, et sans fonctions enzymatiques. Les lectines sont des outils puissants pour la reconnaissance des glycanes dans les échantillons, et elles sont également des cibles pour les composés thérapeutiques en raison de leur implication dans le cancer, l'immunologie et les infections.Cette thèse vise à utiliser la bioinformatique pour développer de nouveaux outils in-silico pour l'étude des lectines. Elle a pour objectif de fournir, dans une nouvelle base de données en ligne, des informations sur les lectines pour les organismes de référence et les nouveaux génomes appartenant à d’autres organismes.Pour fournir une classification des structures 3D des lectines et leur annotation dans les génomes, un portail web dédié a été développé, appelé UniLectin. Le module UniLectin3D fournit des structures 3D classées et stockées manuellement, ainsi que leurs glycanes en interaction. En raison de la difficulté d'identifier les lectines répétées en tandem dans les génomes, une méthode spécifique a été mise au point pour permettre la prédiction de ses lectines particulières, maintenant disponibles dans les modules PropLec et TrefLec. Enfin, le module LectomeXplore fournit des lectines prédites basées sur les 107 classes de UniLectin3D, dans les génomes disponibles du NCBI et d'UniProt. Cela a permis l'étude des lectomes de différents environnements par le biais de la collaboration, dans la dernière partie de la thèse.","Bioinformatics uses mathematical concepts and informatics tools to unravel the knowledge hidden in biological data. When bioinformatics is applied to glycans and glycobiology, it is called glyco-informatics. New technologies allow mass sequencing of new species genomes and of environmental samples metagenomes. But all newly discovered genomes and encoded proteins are only partially annotated with biological function assessed by similarities to reference organisms.Glycobiology is the research field dedicated to the study of glycan/carbohydrate compounds, composed of one or multiple monosaccharides. Lectins are proteins able to bind reversibly to glycans, and without enzymatic functions. Lectins are powerful tools for the recognition of glycans in samples, and they are also targets for therapeutic compounds due to their involvement in cancer, immunology and infections.This thesis aims to use bioinformatics for developing new in silico tools for the study of lectins. More specifically, it addresses the need for a new online database covering curated information on lectins for both reference organisms and newly sequenced genomes belonging to other organisms.To provide a curated classification of lectin 3D structures and their annotation in genomes, a dedicated web portal called UniLectin, was developed and includes several modules. The UniLectin3D module provides manually curated and classified 3D structures together with their interacting glycans. Due to the difficulty of identifying tandem repeated lectins in genomes, a specific method has been developed for the prediction of those particular lectins, now available in the PropLec and TrefLec modules. Finally, the LectomeXplore module includes lectin predictions based on 107 classes defined on the basis of UniLectin3D content, and resulting from screening available sequences stored in the reference protein databases NCBI-nr and UniProt. This made the study of lectomes in different environments possible as collaborative work described in the last part of the thesis."
tel-00682191,"Les technologies actuelles permettent d’explorer le génome entier pour y découvrir des variants génétiques associés aux maladies. Cela implique des outils bioinformatiques adaptés à l’interface de l’informatique, des statistiques et de la biologie. Ma thèse a porté sur l’exploitation bioinformatique des données génomiques issues de la cohorte GRIV du SIDA et du projet international IHAC (International HIV Acquisition Consortium).Posant les prémices de l'imputation, j’ai d’abord développé le logiciel SUBHAP. Notre équipe a montré que la région HLA était essentielle dans la non progression et le contrôle de la charge virale et cela m’a conduit à étudier le phénotype non-progresseur non « elite ». J’ai ainsi révélé un variant du gène CXCR6 qui, en dehors du HLA,  est le seul résultat identifié par approche génome-entier et répliqué.L’imputation des données du projet IHAC (10000 patients infectés et 15000  contrôles) a été réalisée et des premières associations sont en cours d’exploration.","Nowadays with the newest technologies, the entire genome can be explored to uncover genetic variants which may be linked to diseases. This requires bioinformatics tools which are adequate for studies which are at the border between computing, statistics and biology. My thesis work focused on the bioinformatical analysis of genomic data from the GRIV AIDS cohort and from the IHAC (International HIV Acquisition Consortium) project.I first laid the foundation for imputation work by developing the SUBHAP software. Our team showed that the HLA region was essential in non-progression and viral charge control. This led me to study the non progressor non elite phenotype. Thus, I uncovered a variant of the CXCR6 gene which is, apart from HLA, the only result identified with a GWAS approach so far and which has been reproduced.The imputation of data from the IHAC project (10000 infected patients and 15000 control subjects) was also performed and the first associations are now being studied."
tel-01748762,"L'un des enjeux de la lutte contre le cancer réside dans la compréhension de l'hétérogénéité de la maladie. Le but de notre travail a été d'explorer l'hétérogénéité des cellules cancéreuses du point de vue de la séquence d'ARN messager. Les ESTs (ou Expressed Sequence Tags) d'origine humaine ont été alignées aux séquences de référence ARNm. Les alignements ont été exploités de manière à mesurer les variations de séquence des ESTs issues de tissus tumoraux ou non tumoraux à chaque position de chaque transcrit. L'analyse statistique mise en place a consisté à identifier les positions pour lesquelles les variations de séquence, i.e. substitutions, insertions et délétions, sont différentes entre les ESTs d'origine tumorale et les ESTs d'origine non tumorale. L'étude bioinformatique s'est d'abord concentrée sur 17 transcrits abondamment exprimés avant d'être étendue à l'ensemble du transcriptome. Elle a ensuite été réalisée sur les ESTs murines. Les résultats montrent que l'hétérogénéité des transcrits cancéreux est plus grande que celle des tissus sains. Ainsi, l'infidélité de transcription est augmentée au cours de la carcinogénèse. Ce résultat bioinformatique a été validé par différentes approches biologiques. Tout d'abord, le clonage puis le séquençage d'un ARN provenant d'une tumeur pulmonaire humaine et présentant une délétion prédite de manière bioinformatique ont été réalisés, et ce, en l'absence de mutation somatique. Ensuite, l'identification par spectrométrie de masse d'un variant protéique issu de la traduction d'un ARN dont le codon stop est substitué en triplet codant a été possible. Enfin, l'intérêt de rechercher dans le sérum de patients cancéreux la présence d'anticorps dirigés contre des protéines issues de la traduction d'ARNm infidèles a été démontré. Ainsi, l'infidélité de transcription est un phénomène augmenté dans le cancer et responsable d'une partie de l'hétérogénéité des cellules cancéreuses. L'intérêt de cette découverte réside dans les perspectives nouvelles qu'elle offre en termes de compréhension des mécanismes de carcinogénèse et en termes de diagnostic de la maladie","One of the aim of the fight against cancer is to understand the heterogeneity of cancer cells. The goal of our work has been to explore cancer cell mRNA heterogeneity. ESTs (Expressed Sequence Tags) extracted from normal and cancer tissues have been aligned to mRNA reference sequences. This allowed identification of non-random sequence variations that occurred at statistically significant increased rates in cancer compared to normal libraries. This analysis first focused on 17 abundant transcripts and was next extended to whole human genome, as well as to that of Mus musculus. The results show an increase of transcription infidelity events in cancer tissues. Three types of events occur, i.e. base substitutions, deletions and insertions. Bioinformatics results have been validated through different biological methods. First, the cloning and sequencing of mRNA from lung cancer human with a deletion occurring at bioinformatically predicted position in absence of somatic mutation has been achieved. Then, mass spectrometry analysis confirmed the existence of protein variants resulting from translation of mRNA bypassing stop codon. Finally, we showed that transcription infidelity peptides contain specific epitopes of immunoglobulins ; detection of changes in immunoglobulins in patients with cancers opens a novel path toward early stage cancer diagnosis. This increased transcription infidelity in cancer contributes to the heterogeneity of cancer cells. This finding opens novel perspectives and strategies toward understanding carcinogenesis and diagnostic of the disease"
